doc_id,title,term,url,text
1,Voice user interface design,vui,https://books.google.com/books?hl=en&lr=&id=PI_n2EcJfT0C&oi=fnd&pg=PR17&dq=voice+user+interface+vui&ots=qTWs69H-cd&sig=fTSLStrX94li5QV6Qh48azMWCZs,"This book is a comprehensive and authoritative guide to voice user interface (VUI) design. The VUI is perhaps the most critical factor in the success of any automated speech recognition (ASR) system, determining whether the user experience will be satisfying or frustrating, or even whether the customer will remain one. This book describes a practical methodology for creating an effective VUI design. The methodology is scientifically based on principles in linguistics, psychology, and language technology, and is illustrated here by examples drawn from the authors' work at Nuance Communications, the market leader in ASR development and deployment.

The book begins with an overview of VUI design issues and a description of the technology. The authors then introduce the major phases of their methodology. They first show how to specify requirements and make high-level design decisions during the definition phase. They next cover, in great detail, the design phase, with clear explanations and demonstrations of each design principle and its real-world applications. Finally, they examine problems unique to VUI design in system development, testing, and tuning. Key principles are illustrated with a running sample application."
2,A comparative study of speech and dialed input voice interfaces in rural India,vui,https://dl.acm.org/citation.cfm?id=1518709,"In this paper we present a study comparing speech and
dialed input voice user interfaces for farmers in Gujarat,
India. We ran a controlled, between-subjects experiment with 45 participants. We found that the task
completion rates were significantly higher with dialed
input, particularly for subjects under age 30 and those
with less than an eighth grade education. Additionally,
participants using dialed input demonstrated a significantly greater performance improvement from the first
to final task, and reported less difficulty providing input
to the system.
ACM Classification Keywords
H.5.2 User Interfaces: Voice I/O User Interfaces; H.5.2
User Interfaces: Evaluation; H.1.2 User/Machine Systems: Human Factors
Author Keywords
voice user interface, speech interface, isolated word, DTMF,
India, rural development, semi-literate, ICTD
INTRODUCTION
Speech interfaces have been identified for their potential to increase access to information services in developing countries like India, where 480 million illiterate
people reside [12]. Earlier research has demonstrated
that automatic speech recognition (ASR) is possible for
languages and dialects with limited speech resources,
such as many of those spoken in India [10]. However,
with this approach, acceptable error rates can only be
obtained with a voice user interface (VUI) design that
accepts a small number of distinct single word utterPermission to make digital or hard copies of all or part of this work for
personal or classroom use is granted without fee provided that copies are
not made or distributed for profit or commercial advantage and that copies
bear this notice and the full citation on the first page. To copy otherwise, or
republish, to post on servers or to redistribute to lists, requires prior specific
permission and/or a fee.
CHI 2009, April4- 9, 2009, Boston, Massachusetts, USA.
Copyright 2009 ACM 978-1-60558-246-7/09/04...$5.00.
ances at each node in the application (isolated word
speech input).
Dual-tone multi-frequency (DTMF) is a mechanism for
navigating voice user interfaces using the phone’s numeric keypad. In this paper we present a study comparing isolated word speech and DTMF input VUIs
for farmers in rural Gujarat, India. We conducted a
controlled, between-subjects experiment with 45 participants, most of whom had less than an eighth grade
education. The goal of our study was to compare performance and user preference between the two input
modalities and to correlate the results to users’ education levels and age. Our results show that DTMF
outperformed speech in terms of task completion rate
and learnability, and users reported significantly less
difficulty providing input using DTMF.
RELATED WORK
Many studies comparing input modalities for VUIs have
been conducted in developed countries [3, 4]. Lee and
Lai compared a dial interface to a fully functioning natural language system. They found that user preference
depends on the task being completed — DTMF was
preferred for linear tasks (i.e. listening to voicemails in
the order received), while speech was preferred for nonlinear tasks (i.e. listening to voicemails from a specific
acquaintance in random order) [6]. Delogu et. al. compared DTMF to three different speech input systems
and found no difference in performance, but found a
user preference for DTMF over an isolated word interface [2]. In this paper we report results from an important user population outside the scope of these studies.
Our experiment involved farmers from rural Gujarat,
a state located in western India, where the native language is Gujarati. 87% of the participants had never
used a computer and 73% of the participants had less
than an eighth grade education.
Other researchers have investigated the design of VUIs
for such populations. Sherwani developed a VUI in
Urdu for semi-literate community health workers in Pakistan [11]. Plauche designed a VUI in Tamil for accessCHI 2009 ~ Designing for Other Cultures April 6th, 2009 ~ Boston, MA, USA
51
ing agricultural market information [10]. She demonstrated that by restricting the input vocabulary to 2-3
words per node, a VUI using only 15 speakers’ speech
data could achieve an error rate of 2% or less. The
tradeoff for accuracy was that most prompts were yesor-no questions. In this study, we evaluated a system
which uses a viable alternative strategy for limited resource languages: using a recognizer trained on another
language with copious speech resources (English in this
case).
Prior research has pointed out that numerical literacy
can be leveraged for designing user interfaces accessible
to semi-literate users [8]. Several researchers have experimented with DTMF interfaces in developing regions
and found them preferable to speech input for women
users, and in situations where speaking out loud could
raise privacy concerns [7, 9]. However, we are not aware
of other published studies directly comparing these two
input modalities for the population we are considering -
users with limited education and experience with computer interfaces.
PROTOTYPE
For our study, we designed Avaaj Otalo (“voice-based
community forum”), a Gujarati language application
allowing farmers to access agricultural information over
the phone. To accommodate novice users, our main design goal for the interface was simplicity. Functionality
was laid out in hierarchical menus, and all tasks were
linear. We limited all navigational nodes in the application to two or three options. To avoid command ambiguity, only directive-style prompts were used, telling
the user specifically what commands they could give.
We partnered with Development Support Center (DSC),
an NGO in Ahmedabad, Gujarat, to conduct a joint
needs-finding exercise, based on which three system features were identified and implemented. The announcement board is a list of headline-like informational snippets, uploaded to Avaaj Otalo by DSC staff or other
agriculture experts several times per week. The radio
archive lets the caller listen to archived radio programs
produced by DSC on agricultural topics of current interest. Finally, Avaaj Otalo allows farmers to record their
own questions, for review and response by experts.
We implemented both isolated word speech and DTMF
versions of Avaaj Otalo. Prompts were recorded in a
professional studio by one of the DSC radio program’s
popular female voice personalities. Barge-in input was
disallowed for both treatments. Figure 1 shows a sample
dialog with Avaaj Otalo.
Avaaj Otalo was built and deployed using IBM Research India’s WWTW [5] platform. For the speech
recognition, Gujarati commands were converted to lexicons using the American English phoneme set. In our
experiment, the system performed with a recognition
accuracy of 94%. Although this is lower than Plauche’s
Tamil system (98% accuracy), the difference reflects
AO: Welcome to Avaaj Otalo! You can get to information by
saying a single word. To ask a question, say ’question’; to listen
to announcements, say ’announcements’; to listen to the radio
program, say ’radio’.
User: I want to ask a question.
AO: Sorry, I didn’t understand. I can only understand single
words. Do you want to ask a question... yes or no?
User: Yes
AO: OK, you want to ask a question. To ask a question about
agriculture, say ’agriculture’; for animal husbandry, say ’animal’.
....
AO: OK, you want to ask a question about pests in cotton. Please
say your question slowly and clearly after the beep.
User: How can I protect my cotton crop from mili bugs?
Figure 1. A sample interaction with Avaaj Otalo. The
DTMF version of the application had identical prompts
except that command options were mapped to numeric
keys.
the cost of a larger command vocabulary for limited
resource languages.
EXPERIMENT
We tested Avaaj Otalo with 45 participants recruited
from ten districts throughout rural Gujarat. To participate, we only required that subjects be farmers by
profession. We focused on recruiting small-scale farmers; the median farm size was 10 acres. All of the participants spoke Gujarati as their primary language, and
none spoke English. The majority of participants (87%)
reported never having used a PC.
We did not use a within-subjects experiment design because we felt the simplicity of the application would
have introduced a priming effect. Input modality (speech
vs. DTMF) was randomly assigned to each user, but
was anonymously corrected to maintain balance across
age, education and gender.
Testing sessions were led by a DSC staff member who
had experience communicating with the target user group.
Participants were first introduced to the system and its
features, and were assured that it was the system that
was being tested, not them. Each participant completed three tasks with Avaaj Otalo corresponding to
its three features (listening to announcements, listening to archived radio program recordings, and posting
questions), ordered by increasing difficulty.
We designed Avaaj Otalo to be responsive to input errors. If the system could not recognize user input, or if
the user was silent, a follow-up prompt would ask the
user to try again. If input was again not recognized, the
system reverted to a series of yes-or-no prompts, offering each option serially. We classified a task as failed
if the user either navigated to a part of the application that was not called for by the task, or failed to
get passed the yes-or-no prompts after several attempts
with no sign of recovery.
We tested 38 participants in a quiet office, with only the
DSC staffer and two researchers as observers. We used
CHI 2009 ~ Designing for Other Cultures April 6th, 2009 ~ Boston, MA, USA
52
a landline phone in both treatments. The remaining 7
participants, all women, were tested in their homes due
to their traveling constraints. In the field, we attempted
to be faithful to the office environment by testing in a
quiet room with only the researchers and one family
member of the participant present. A landline phone
was not available, so we used a mobile phone. Participants in the DTMF treatment were provided a headset
so that the dialpad could remain in front of them (see
figure 2).
Figure 2. Testing the DTMF interface with a participant
at her home.
Capturing Data
We used several methods to record experimental data.
For collecting demographic information, we administered a pre-test questionnaire. For performance measures, we instrumented our prototype to log task completion, errors, and call duration. During the test, two
researchers noted points of difficulty, facial expressions,
and comments made during the call. To measure user
satisfaction, ease of use, and learnability, we administered a post-test questionnaire with Likert scales.
RESULTS
Performance Results
The overall task completion rate with DTMF was significantly higher than with speech (74% vs. 61%; p
< 0.05). Figure 3 shows the breakdown by task, and
according to age and education level. The third task,
recording a question, consisted of three subtasks: categorizing the question, recording the question, and recording the participant’s name and location. Categorization (task 3a) was the most difficult because it required
traversing several levels, choosing one of nine crops, and
one of six agricultural topics. For this subtask, DTMF
users had a significantly better completion rate than
speech (the completion rates were also better for the
other two subtasks, but not significantly so).
Participants using the DTMF interface also demonstrated
a significantly greater performance improvement between
the first and third task. We calculated the effect size
using Cohen’s d repeated measures analysis, corrected
for correlated datasets [1]. DTMF users experienced a
Figure 3. Task completion rates for speech (light gray)
and DTMF (dark gray) versions. P-values are given
where rate differences were significant.
Task1 Task2 Task3
DTMF 48% 19% 29%
Speech 63% 42% 42%
Table 1. Percentage of users who reported each task as
either “difficult” or “very difficult”.
“large positive difference” (Cohen’s d-value = 0.99) in
completion rates between task 1 and 3. With speech the
effect was a “small positive difference” (Cohen’s d-value
= 0.26).
Despite the difference in task completion rate, there was
no significant difference in user satisfaction. In both
groups, over 80% of users reported that they found it
easy to access information from the system. Over 75%
of both groups said they would “definitely” use such an
application if it was made available.
User Perception of Difficulty
Table 1 displays the percentage of users who reported
that a particular task was either “difficult” or “very
difficult”, based on a five-point Likert scale. Across
all tasks, the percentage of such responses was 49% for
speech and 30% for DTMF (p < 0.05). When specifically asked whether they faced any difficulty providing
input to the system, 81% of DTMF users answered “no”
or “definitely no”, compared to 38% for speech users (p
< 0.01).
DISCUSSION
Our most consistent result was the success of dialed
input relative to speech, confirming results obtained
CHI 2009 ~ Designing for Other Cultures April 6th, 2009 ~ Boston, MA, USA
53
in other settings [2, 6]. Our observations indicated
two main reasons why speech input was less successful.
First, users expressed discomfort speaking single word
commands, which was perceived as unnatural. “Talking to the computer” was an unfamiliar idea; DTMF
users may have had an easier time forming a mental
model of the system. The second reason was difficulty
in recovering from errors made by either the system
(recognition error) or the user (bad or no input). With
speech input, the task completion rate was 42% when
one or more recognition errors occurred, compared to
67% when no errors occurred (p < 0.05). Given the recent emphasis on designing limited vocabulary speech
interfaces for semi-literate users, it is notable that the
only group who performed better using speech for multiple tasks was the most educated group. This indicates
that less educated users may have more difficulty recovering from recognition errors.
Due to the difficulty and expense of providing training,
an interface that is easy to learn and understand is a
key design consideration for information services serving remote populations. No users expressed difficulty
in understanding how to operate the system through
dialed input, including several fully illiterate participants. However, one difficulty with the DTMF interface
was in transitioning between dialed input and speaking,
which was required in the final task for recording the
user’s question and personal information. A difficulty
across both modalities was navigating command-driven
menus and knowing when to provide input. Every spoken prompt was followed by a beep to indicate that
input was requested. The prompts did not explicitly
mention the beep, and many users either gave input
too early or not at all.
Difficulties notwithstanding, the participants’ response
to the application was unanimously enthusiastic. Many
farmers told us that the ability to access information
at any time would have a significant impact on their
farming practices. A few farmers singled out the ability
to share their personal experiences with other farmers
and with DSC staff as a key benefit of the system.
The main limitation of the study is its external validity. The study was conducted in optimal conditions for
both accurate speech recognition (a calm, quiet environment) and easy dialing (placing the dialpad in front
of users). A real-world deployment must support usage
in a diverse range of scenarios. We plan to conduct a
more realistic assessment of the usage and impact of
this system after it is deployed across Gujarat. The
study’s generalizability is also limited by the narrowness of the type of task that was tested. Linear tasks
with low perplexity are amenable to DTMF input, and
it is possible that speech input could outperform DTMF
in more complex scenarios.
CONCLUSION
In this paper, we presented a comparative study of
speech and dialed input for a user population with limited literacy, familiarity with technology, and for a language with limited speech resources. We developed
Avaaj Otalo, an application for farmers to access relevant and timely agricultural information. We found
that dialed input outperforms speech, both in terms of
task completion rate and users’ perception of difficulty.
We plan on deploying Avaaj Otalo for access throughout Gujarat next year."
3,What can I say?: addressing user experience challenges of a mobile voice user interface for accessibility,vui,https://dl.acm.org/citation.cfm?id=2935386,"Voice interactions on mobile phones are most often used to augment or supplement touch based interactions for users' convenience. However, for people with limited hand dexterity caused by various forms of motor-impairments voice interactions can have a significant impact and in some cases even enable independent interaction with a mobile device for the first time. For these users, a Mobile Voice User Interface (M-VUI), which allows for completely hands-free, voice only interaction would provide a high level of accessibility and independence. Implementing such a system requires research to address long standing usability challenges introduced by voice interactions that negatively affect user experience due to difficulty learning and discovering voice commands.

In this paper we address these concerns reporting on research conducted to improve the visibility and learnability of voice commands of a M-VUI application being developed on the Android platform. Our research confirmed long standing challenges with voice interactions while exploring several methods for improving the onboarding and learning experience. Based on our findings we offer a set of implications for the design of M-VUIs."
4,Voice user interface design for a telephone application using VoiceXML,vui,https://link.springer.com/chapter/10.1007/978-3-540-31849-1_106,"VoiceXML is a standard language for developing voice based applications. VoiceXML applications have more advantages over traditional Interactive Voice Response (IVR) systems because they can be used through any type of phones and also accessed via a computer. Voice User Interface (VUI) design is an integral part of developing any VoiceXML application. In this paper, the VUI for a VoiceXML ‘Cinema Service’ telephone application is designed and a number of experiments are undertaken to help the design of the VUI. The experiments focus on users’ navigation, memory and age group, and preferences. Conclusions are drawn based on the experiments for future design and development."
5,Voice User Interface Design Patterns.,vui,https://pdfs.semanticscholar.org/6e08/7ddc8a262659fa211a2c9dc26a41e758b989.pdf,"We present in this paper a set of design patterns we have mined in
the area of Voice User Interfaces (VUI). In a previous paper [14], we
introduced several patterns regarding fundamental issues of developing
a voice application. In this paper we explore further aspects concerning
the internal structure of an audio interface, the construction of the interaction style, the system response architecture, and implementation
strategies to meet the demands of real world scenarios."
6,Patterns for how users overcome obstacles in voice user interfaces,vui,https://dl.acm.org/citation.cfm?id=3173580,"Voice User Interfaces (VUIs) are growing in popularity. However, even the most current VUIs regularly cause frustration for their users. Very few studies exist on what people do to overcome VUI problems they encounter, or how VUIs can be designed to aid people when these problems occur. In this paper, we analyze empirical data on how users (n=12) interact with our VUI calendar system, DiscoverCal, over three sessions. In particular, we identify the main obstacle categories and types of tactics our participants employ to overcome them. We analyzed the patterns of how different tactics are used in each obstacle category. We found that while NLP Error obstacles occurred the most, other obstacles are more likely to frustrate or confuse the user. We also found patterns that suggest participants were more likely to employ a ""guessing"" approach rather than rely on visual aids or knowledge recall."
7,Voice interfaces in everyday life,vui,https://dl.acm.org/citation.cfm?id=3174214,"Voice User Interfaces (VUIs) are becoming ubiquitously available, being embedded both into everyday mobility via smartphones, and into the life of the home via 'assistant' devices. Yet, exactly how users of such devices practically thread that use into their everyday social interactions remains underexplored. By collecting and studying audio data from month-long deployments of the Amazon Echo in participants' homes-informed by ethnomethodology and conversation analysis-our study documents the methodical practices of VUI users, and how that use is accomplished in the complex social life of the home. Data we present shows how the device is made accountable to and embedded into conversational settings like family dinners where various simultaneous activities are being achieved. We discuss how the VUI is finely coordinated with the sequential organisation of talk. Finally, we locate implications for the accountability of VUI interaction, request and response design, and raise conceptual challenges to the notion of designing 'conversational' interfaces."
8,Voicexml: Strategies and Techniques for Effective Voice Application Development with Voicexml 2.0 with Cdrom,vui,https://dl.acm.org/citation.cfm?id=559910,"A timely, hands-on guide to building voice applications with VoiceXML 2.0
VoiceXML unites the power of the Internet with the ubiquity of the telephone, making it possible for businesses to replace legacy, proprietary IVR platforms with a unified architecture for delivering automated self-service from any device. Without exception, every major voice and call center technology company has embraced VoiceXML, and tens of thousands of developers have already begun building and deploying VoiceXML applications. In this book, experts Chetan Sharma and Jeff Kunins explore this powerful technology and offer you a clear understanding of VoiceXML, its history, and its business uses.

Providing insights that will help your company improve customer service quality and reduce costs, this informative reference manual introduces you to VoiceXML and serves as a practical programming resource for professional VoiceXML developers. You’ll learn how to create a VoiceXML development environment, and receive tutorials on topics such as VoiceXML 2.0 vendor-independent grammars and deployment options for successful voice applications. Two appendices contain the source code for field service case studies and various VoiceXML tips and tricks. Along the way, you’ll discover:

VoiceXML programming and security
Comparison of network-based and premise-based deployment options
The voice application life cycle
Designing effective Voice User Interface (VUI
A case study of building an application
Dynamic VoiceXML: Generating voice applications from server-side data
Various elements to consider while implementing your voice strategy
Challenges and innovations of the future
The CD-ROM contains code from the book, as well as toolkits and white papers from leading vendors such as Motorola, IBM, and Nuance.

Professional Developer’s Guides
The Professional Developer’s Guide series provides the first in-depth look at recent or emerging programming technologies. Experienced programmers and developers will find comprehensive coverage of new programming standards as well as code, sample programs, developer’s tools, and applications that will make programming for a new technology much easier.

Wiley Computer Publishing
Timely. Practical. Reliable.

Author Biography: CHETAN SHARMA is Director of R&D at Luminant Worldwide, a leading Internet professional services firm. In this role, he provides vision and strategic direction, directs R&D efforts, and focuses on exploring and evangelizing emerging technologies. He is frequently invited to speak at industry conferences worldwide and is often quoted in media publications. He is also the author of Wireless Internet Enterprise Applications (Wiley) and he holds patents in wireless communications.
JEFF KUNINS is Senior Manager of Technical Marketing at Tellme Networks, Inc., and a frequent speaker at industry shows like Wireless DevCon. He holds patents in Web-based security and zero-footprint voice application development, and is one of the seminal evangelists of VoiceXML technology."
9,Designing Voice User Interfaces: Principles of Conversational Experiences,vui,https://books.google.com/books?hl=en&lr=&id=MmnEDQAAQBAJ&oi=fnd&pg=PR11&dq=voice+user+interface+vui&ots=HNb35u8Djb&sig=Wn5x_xgj87FIK8f6OOSkNA52MX8,"Voice user interfaces (VUIs) are becoming all the rage today. But how do you build one that people can actually converse with? Whether you’re designing a mobile app, a toy, or a device such as a home assistant, this practical book guides you through basic VUI design principles, helps you choose the right speech recognition engine, and shows you how to measure your VUI’s performance and improve upon it.

Author Cathy Pearl also takes product managers, UX designers, and VUI designers into advanced design topics that will help make your VUI not just functional, but great.Understand key VUI design concepts, including command-and-control and conversational systemsDecide if you should use an avatar or other visual representation with your VUIExplore speech recognition technology and its impact on your designTake your VUI above and beyond the basic exchange of informationLearn practical ways to test your VUI application with usersMonitor your app and learn how to quickly improve performanceGet real-world examples of VUIs for home assistants, smartwatches, and car systems"
10,Learnability through adaptive discovery tools in voice user interfaces,vui,https://dl.acm.org/citation.cfm?id=3053166,"The invisible nature of VUIs has been attributed to challenging discoverability with VUIs. Low discoverability often leads to learnability issues. Researchers have designed visual tools for VUIs to help users learn as they go. However, few have used adaptation to ensure that learnability with the help of these tools extends beyond initial use. We designed DiscoverCal, a calendar application designed using adaptive discovery tools to improve learnability in VUIs. In this paper, we identify key characteristics of existing discovery tools. We present our design of a VUI that adapts based on contextual relevance and user performance in order to extend learnability beyond initial use. We briefly discuss our user study design."
