"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Afghanistan","Asia",1957,30.332,9240934,820.8530296
"2","Bahrain","Asia",1957,53.832,138655,11635.79945
"3","Bangladesh","Asia",1957,39.348,51365468,661.6374577
"4","Cambodia","Asia",1957,41.366,5322536,434.0383364
"5","China","Asia",1957,50.54896,637408000,575.9870009
"6","Hong Kong, China","Asia",1957,64.75,2736300,3629.076457
"7","India","Asia",1957,40.249,409000000,590.061996
"8","Indonesia","Asia",1957,39.918,90124000,858.9002707
"9","Iran","Asia",1957,47.181,19792000,3290.257643
"10","Iraq","Asia",1957,48.437,6248643,6229.333562
"11","Israel","Asia",1957,67.84,1944401,5385.278451
"12","Japan","Asia",1957,65.5,91563009,4317.694365
"13","Jordan","Asia",1957,45.669,746559,1886.080591
"14","Korea, Dem. Rep.","Asia",1957,54.081,9411381,1571.134655
"15","Korea, Rep.","Asia",1957,52.681,22611552,1487.593537
"16","Kuwait","Asia",1957,58.033,212846,113523.1329
"17","Lebanon","Asia",1957,59.489,1647412,6089.786934
"18","Malaysia","Asia",1957,52.102,7739235,1810.066992
"19","Mongolia","Asia",1957,45.248,882134,912.6626085
"20","Myanmar","Asia",1957,41.905,21731844,350
"21","Nepal","Asia",1957,37.686,9682338,597.9363558
"22","Oman","Asia",1957,40.08,561977,2242.746551
"23","Pakistan","Asia",1957,45.557,46679944,747.0835292
"24","Philippines","Asia",1957,51.334,26072194,1547.944844
"25","Saudi Arabia","Asia",1957,42.868,4419650,8157.591248
"26","Singapore","Asia",1957,63.179,1445929,2843.104409
"27","Sri Lanka","Asia",1957,61.456,9128546,1072.546602
"28","Syria","Asia",1957,48.284,4149908,2117.234893
"29","Taiwan","Asia",1957,62.4,10164215,1507.86129
"30","Thailand","Asia",1957,53.63,25041917,793.5774148
"31","Vietnam","Asia",1957,42.887,28998543,676.2854478
"32","West Bank and Gaza","Asia",1957,45.671,1070439,1827.067742
"33","Yemen, Rep.","Asia",1957,33.97,5498090,804.8304547
